Rank,Name,Background,BackgroundWeight,Eyes,EyesWeight,Fur,FurWeight,Hands,HandsWeight,Hat,HatWeight,Mask,MaskWeight,Mouth,MouthWeight,Outfit,OutfitWeight,Tail,TailWeight,Wings,WingsWeight,TraitCount,Weighting
1,Sarge,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,10,1115.6170602000002
2,Mando,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,10,1115.6170602000002
3,Sabertooth,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,10,1115.6170602000002
4,Kenny Pawgers,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,10,1115.6170602000002
5,Mufasa,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,10,1115.6170602000002
6,Sloth,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,10,1115.6170602000002
7,Tinkerbell,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,10,1115.6170602000002
8,Sir Pouncealot,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,10,1115.6170602000002
9,Shere Khan,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,10,1115.6170602000002
10,Zeus,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,Missing,101.5789474,10,1115.6170602000002
