Rank,Weighting,Name,Back,BackRarity,Eyes,EyesRarity,Face,FaceRarity,Head,HeadRarity,Race,RaceRarity,Armor,ArmorRarity,Mouth,MouthRarity,Racial,RacialRarity,Familiar,FamiliarRarity,SkinTone,SkinToneRarity,Background,BackgroundRarity,TraitCount,TraitCountRarity,Asset
0,1296.4572756,Tavern Squad Adventurer #06472,Tribal Spear,19.3050193,Normal,2.7624309,Plague Mask,222.2222222,Apple,10.7526882,Dwarf,4.0666938,Explorer,11.3895216,Drowsy,9.3196645,Stout,24.8138958,Rat,149.2537313,C,3.0422878,Green,6.1957869,11,833.3333333,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643036343732
0,1213.6633124,Tavern Squad Adventurer #05006,Tribal Spear,19.3050193,Angry,5.7971014,Eyepatch,19.9600798,Horns,34.0136054,Aquila,21.2765957,Knight,13.7741047,Racial,5.8173357,Ancient,106.3829787,Raven,142.8571429,C,3.0422878,Orange,8.1037277,11,833.3333333,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643035303036
0,1157.6715869999998,Tavern Squad Adventurer #00804,Sword,11.9617225,Scared,9.3632959,Cloth Mask,97.0873786,Flame,16.6112957,Elf,4.3572985,Chain Mail,11.1731844,Normal,3.4940601,Earring,18.5528757,Raven,142.8571429,C,3.0422878,Gray,5.8377116,11,833.3333333,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643030383034
0,1150.9145019,Tavern Squad Adventurer #09909,Pickaxe,12.5786164,Drowsy,6.8917988,Cloth Mask,97.0873786,Short Hair,8.2304527,Human,2.8352708,Wizard,13.6239782,Scared,11.0497238,Imperial,17.4825175,Ferret,135.1351351,B,3.0693677,Red,9.596929,11,833.3333333,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643039393039
0,1143.4041622,Tavern Squad Adventurer #06557,Fire Staff,45.6621005,Crazy,15.5279503,Monocle,35.971223,Flame,16.6112957,Elf,4.3572985,Rogue,12.8205128,Drowsy,9.3196645,Wounded,22.0264317,Ferret,135.1351351,C,3.0422878,Red,9.596929,11,833.3333333,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643036353537
0,1129.9233562999998,Tavern Squad Adventurer #00143,Spear,12.2399021,Normal,2.7624309,Eyepatch,19.9600798,Horns,34.0136054,Dwarf,4.0666938,Knight,13.7741047,Smoking,39.0625,Stout,24.8138958,Ferret,135.1351351,B,3.0693677,Yellow,7.6923077,11,833.3333333,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643030313433
0,1116.7456982,Tavern Squad Adventurer #03950,Fire Maul,20.746888,Angry,5.7971014,Monocle,35.971223,Ponytail,9.7847358,Orc,8.0064051,Villager,11.4547537,Racial,5.8173357,Crooked,39.5256917,Ferret,135.1351351,B,3.0693677,Orange,8.1037277,11,833.3333333,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643033393530
0,1104.6053686,Tavern Squad Adventurer #02901,Warpick,14.4092219,Angry,5.7971014,Monocle,35.971223,Flame,16.6112957,Elf,4.3572985,Explorer,11.3895216,Sad,9.569378,Spiky,28.1690141,Ferret,135.1351351,B,3.0693677,Blue,6.7934783,11,833.3333333,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643032393031
0,1098.6795341000002,Tavern Squad Adventurer #08925,Bow,17.6678445,Sad,7.6863951,Eyepatch,19.9600798,Bandana,8.841733,Orc,8.0064051,Explorer,11.3895216,Racial,5.8173357,Skinny,40.9836066,Ferret,135.1351351,A,2.894356,Purple,6.9637883,11,833.3333333,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643038393235
0,1088.1855392999998,Tavern Squad Adventurer #05611,Bow,17.6678445,Normal,2.7624309,Eyepatch,19.9600798,Short Hair,8.2304527,Elf,4.3572985,Traveller,12.0772947,Normal,3.4940601,Spiky,28.1690141,Rat,149.2537313,C,3.0422878,Gray,5.8377116,11,833.3333333,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643035363131
0,1076.1223899000001,Tavern Squad Adventurer #02380,Spear,12.2399021,Normal,2.7624309,Eyepatch,19.9600798,Apple,10.7526882,Dwarf,4.0666938,Wooden,18.3150183,Drowsy,9.3196645,Handlebars,21.5053763,Ferret,135.1351351,A,2.894356,Gray,5.8377116,11,833.3333333,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643032333830
0,1062.8431993000002,Tavern Squad Adventurer #00440,Lute,12.5313283,Normal,2.7624309,Eyepatch,19.9600798,Mohawk,8.7642419,Dwarf,4.0666938,Villager,11.4547537,Normal,3.4940601,Handlebars,21.5053763,Ferret,135.1351351,C,3.0422878,Blue,6.7934783,11,833.3333333,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643030343430
0,1005.1076202000003,Tavern Squad Adventurer #02601,Dark Wings,416.6666667,Normal,2.7624309,None,1.1021713,Short Hair,8.2304527,Dwarf,4.0666938,Deity - Evil,526.3157895,Scared,11.0497238,Fully Braided,22.9885057,None,1.0215548,C,3.0422878,Green,6.1957869,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643032363031
0,757.7373766000001,Tavern Squad Adventurer #00790,None,4.9925112,Normal,2.7624309,None,1.1021713,None,7.6745971,Human,2.8352708,Molten,38.0228137,Sad,9.569378,None,12.0918984,None,1.0215548,A,2.894356,Orange,8.1037277,6,666.6666667,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643030373930
0,745.495295,Tavern Squad Adventurer #09285,Ice Staff,51.2820513,Normal,2.7624309,None,1.1021713,Long Hair,8.1632653,Aquila,21.2765957,Deity - Evil,526.3157895,Racial,5.8173357,Pierced,114.9425287,None,1.0215548,C,3.0422878,Orange,8.1037277,9,1.6655563,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643039323835
0,742.6612787,Tavern Squad Adventurer #00552,None,4.9925112,Normal,2.7624309,None,1.1021713,None,7.6745971,Human,2.8352708,Ice,21.2314225,Crazy,13.1926121,None,12.0918984,None,1.0215548,A,2.894356,Green,6.1957869,6,666.6666667,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643030353532
0,741.9980133,Tavern Squad Adventurer #00294,None,4.9925112,Angry,5.7971014,None,1.1021713,None,7.6745971,Human,2.8352708,Ice,21.2314225,Drowsy,9.3196645,None,12.0918984,None,1.0215548,B,3.0693677,Green,6.1957869,6,666.6666667,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643030323934
0,739.6362104000001,Tavern Squad Adventurer #09816,None,4.9925112,Scared,9.3632959,None,1.1021713,None,7.6745971,Human,2.8352708,Traveller,12.0772947,Drowsy,9.3196645,None,12.0918984,None,1.0215548,A,2.894356,Red,9.596929,6,666.6666667,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643039383136
0,739.4793629000001,Tavern Squad Adventurer #06582,None,4.9925112,Sad,7.6863951,None,1.1021713,None,7.6745971,Human,2.8352708,Wizard,13.6239782,Scared,11.0497238,None,12.0918984,None,1.0215548,C,3.0422878,Yellow,7.6923077,6,666.6666667,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643036353832
0,738.3820112,Tavern Squad Adventurer #09587,None,4.9925112,Drowsy,6.8917988,None,1.1021713,None,7.6745971,Human,2.8352708,Explorer,11.3895216,Scared,11.0497238,None,12.0918984,None,1.0215548,B,3.0693677,Red,9.596929,6,666.6666667,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643039353837
0,737.8377177999998,Tavern Squad Adventurer #09016,None,4.9925112,Drowsy,6.8917988,None,1.1021713,None,7.6745971,Human,2.8352708,Ice,21.2314225,Normal,3.4940601,None,12.0918984,None,1.0215548,C,3.0422878,Blue,6.7934783,6,666.6666667,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643039303136
0,734.4074285999999,Tavern Squad Adventurer #08986,None,4.9925112,Angry,5.7971014,None,1.1021713,None,7.6745971,Human,2.8352708,Rogue,12.8205128,Sad,9.569378,None,12.0918984,None,1.0215548,C,3.0422878,Blue,6.7934783,6,666.6666667,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643038393836
0,733.725483,Tavern Squad Adventurer #08642,None,4.9925112,Sad,7.6863951,None,1.1021713,None,7.6745971,Human,2.8352708,Villager,11.4547537,Drowsy,9.3196645,None,12.0918984,None,1.0215548,C,3.0422878,Gray,5.8377116,6,666.6666667,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643038363432
0,732.4528077999998,Tavern Squad Adventurer #00808,None,4.9925112,Drowsy,6.8917988,None,1.1021713,None,7.6745971,Human,2.8352708,Barbarian,14.9476831,Normal,3.4940601,None,12.0918984,None,1.0215548,C,3.0422878,Yellow,7.6923077,6,666.6666667,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643030383038
0,732.4336084,Tavern Squad Adventurer #01142,None,4.9925112,Normal,2.7624309,None,1.1021713,None,7.6745971,Human,2.8352708,Bone,14.47178,Angry,7.6687117,None,12.0918984,None,1.0215548,C,3.0422878,Orange,8.1037277,6,666.6666667,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643031313432
0,731.9295548,Tavern Squad Adventurer #03877,None,4.9925112,Drowsy,6.8917988,None,1.1021713,None,7.6745971,Human,2.8352708,Traveller,12.0772947,Angry,7.6687117,None,12.0918984,None,1.0215548,B,3.0693677,Gray,5.8377116,6,666.6666667,2d01b3496fd22b1a61e6227c27250225b1186e5ebae7360b1fc5392c54617665726e53717561643033383737
