Rarity Score,id,Back,Back Score,Face,Face Score,Head,Head Score,Outfit,Outfit Score,Character,Character Score,Background,Background Score,name,Trait Count,Trait Count Score
39481.6738743,1853,Egyptian Paperbag,6580,Egyptian Paperbag,6580,Egyptian Paperbag,6580,Egyptian Paperbag,6580,Egyptian Paperbag,6580,Egyptian Paperbag,6580,FalseIdols #4379,6,1.6738743
39481.6738743,1935,Barong,6580,Barong,6580,Barong,6580,Barong,6580,Barong,6580,Barong,6580,FalseIdols #3632,6,1.6738743
39481.6738743,2261,Sun and Moon Priest,6580,Sun and Moon Priest,6580,Sun and Moon Priest,6580,Sun and Moon Priest,6580,Sun and Moon Priest,6580,Sun and Moon Priest,6580,FalseIdols #5848,6,1.6738743
39481.6738743,3832,False Mecha,6580,False Mecha,6580,False Mecha,6580,False Mecha,6580,False Mecha,6580,False Mecha,6580,FalseIdols #0731,6,1.6738743
39481.6738743,4185,Cthulu,6580,Cthulu,6580,Cthulu,6580,Cthulu,6580,Cthulu,6580,Cthulu,6580,FalseIdols #5686,6,1.6738743
39481.6738743,4480,Lost Soul,6580,Lost Soul,6580,Lost Soul,6580,Lost Soul,6580,Lost Soul,6580,Lost Soul,6580,FalseIdols #6153,6,1.6738743
39481.6738743,4612,Zombie Dragon,6580,Zombie Dragon,6580,Zombie Dragon,6580,Zombie Dragon,6580,Zombie Dragon,6580,Zombie Dragon,6580,FalseIdols #3654,6,1.6738743
39481.6738743,4765,T Rex,6580,T Rex,6580,T Rex,6580,T Rex,6580,T Rex,6580,T Rex,6580,FalseIdols #1851,6,1.6738743
39481.6738743,5196,One Eyed Witch,6580,One Eyed Witch,6580,One Eyed Witch,6580,One Eyed Witch,6580,One Eyed Witch,6580,One Eyed Witch,6580,FalseIdols #5831,6,1.6738743
39481.6738743,5598,Black Knight,6580,Black Knight,6580,Black Knight,6580,Black Knight,6580,Black Knight,6580,Black Knight,6580,FalseIdols #6521,6,1.6738743
2468.83289,5668,Fi Flag,2193.3333333,Drill Nose,164.5,Pajama Cap,33.7435897,Jail,32.5742574,Melton Slush,26.6396761,Dark Blue Clouds,16.3681592,FalseIdols #0894,6,1.6738743
2372.2567645,4592,Fi Flag,2193.3333333,Bubble Gum,38.4795322,Red Bandana,50.2290076,Blue Jacket,45.6944444,Melton Slush,26.6396761,Pink,16.2068966,FalseIdols #5336,6,1.6738743
2361.1467195,4613,Fi Flag,2193.3333333,Pacifier,45.0684932,Halo,38.0346821,Leopard Gown,40.617284,Melton Slush,26.6396761,Green,15.7793765,FalseIdols #5323,6,1.6738743
2349.3994736,4705,Trident,32.4137931,MilkBottle,2193.3333333,Doctors Lamp,38.0346821,Reaper,41.910828,Corki,25.9055118,Dark Blue Flames,16.127451,FalseIdols #1355,6,1.6738743
2342.9450616,4190,Surfboard,28.8596491,MilkBottle,2193.3333333,Chef Hat,37.1751412,Hockey Blue,40.3680982,Corki,25.9055118,Pink Flames,15.6294537,FalseIdols #6447,6,1.6738743
2337.5536518,4805,Umbrella Black,28.1196581,MilkBottle,2193.3333333,Doctors Lamp,38.0346821,Purple  Robot,33.7435897,Corki,25.9055118,Red Flames,16.7430025,FalseIdols #4697,6,1.6738743
1803.5474318,4947,Third Arm,33.2323232,Rose,41.910828,ClassicHat,1645,Batik with Scarf,39.1666667,Medusa,25.9055118,Purple Clouds,16.6582278,FalseIdols #3408,6,1.6738743
1798.0709453,4248,NONE,6.5668663,Oni Mask,67.1428571,ClassicHat,1645,Red One Piece,34.8148148,Medusa,25.9055118,Pink Flames,15.6294537,FalseIdols #3216,5,3.0114416
1790.1845339,591,Scythe,27.5313808,Bubble Gum,38.4795322,ClassicHat,1645,Robe,36.1538462,Medusa Stone,26.0079051,Graveyard,15.3379953,FalseIdols #4126,6,1.6738743
1762.7439587,4869,Hockey Stick,31.3333333,None,6.2966507,ClassicHat,1645,Gold Armor,35.5675676,Medusa,25.9055118,Pink Flames,15.6294537,FalseIdols #5139,5,3.0114416
1586.3709097,917,Turtle Shell Brown,31.4832536,Gold Teeth,731.1111111,Bapho Crown,731.1111111,Kings Robe,33.4010152,Bapho Demon,41.3836478,Pink,16.2068966,FalseIdols #4081,6,1.6738743
1487.7119664,4882,Hockey Stick,31.3333333,TobbacoPipe,1316,Mariachi Hat,57.2173913,Green Kimono,38.4795322,Corki Demon,26.6396761,Dark Blue Clouds,16.3681592,FalseIdols #6632,6,1.6738743
1484.3514463,4302,Turtle Shell Green,28.8596491,TobbacoPipe,1316,Mariachi Hat,57.2173913,Blue Kimono,37.1751412,Corki Demon,26.6396761,Space,16.7857143,FalseIdols #2763,6,1.6738743
1477.1547776,5135,Surfboard,28.8596491,TobbacoPipe,1316,Black Beanie,48.0291971,White Turtleneck,39.1666667,Corki Demon,26.6396761,Space,16.7857143,FalseIdols #4459,6,1.6738743
1473.078286,6428,Surfboard,28.8596491,Pacifier,45.0684932,MariachiHat,1316,Suit,39.6385542,Vern,25.9055118,Purple Gradient,15.9322034,FalseIdols #4095,6,1.6738743
1472.8616939,1961,Carrot Stick,33.0653266,Black Glasses,38.7058824,MariachiHat,1316,Purple Gown,41.3836478,Vern,25.9055118,Dark Blue Flames,16.127451,FalseIdols #5908,6,1.6738743
1470.5619815,1048,Turtle Shell Green,28.8596491,Rose,41.910828,MariachiHat,1316,Flame Hoodie,40.3680982,Vern Birch,26.0079051,Prison Photo booth,15.7416268,FalseIdols #5876,6,1.6738743
1470.0724809,1247,Turtle Shell Green,28.8596491,Snake,43.2894737,MariachiHat,1316,Doctor,38.0346821,Vern Birch,26.0079051,Pink,16.2068966,FalseIdols #5354,6,1.6738743
1466.3890262,136,NONE,6.5668663,Monocle,63.8834951,MariachiHat,1316,Red One Piece,34.8148148,Vern,25.9055118,Pink,16.2068966,FalseIdols #6498,5,3.0114416
1464.96302,2405,IV Drop,33.5714286,TobbacoPipe,1316,Farmers Hat,36.9662921,Blue One Piece,33.7435897,Corki Demon,26.6396761,Dark Blue Clouds,16.3681592,FalseIdols #5759,6,1.6738743
1433.2378799,6089,Umbrella Black,28.1196581,TobbacoPipe,1316,None,6.3391137,Pink Robot,37.3863636,Corki Demon,26.6396761,Prison Photo booth,15.7416268,FalseIdols #5939,5,3.0114416
1405.4109721,6022,Phone,28.4848485,Rainbow Teeth,548.3333333,Bapho Crown,731.1111111,Suit,39.6385542,Bapho Tattooed,39.1666667,Spirals,17.002584,FalseIdols #4243,6,1.6738743
1401.9187147,5358,Phone,28.4848485,Rainbow Teeth,548.3333333,Bapho Crown,731.1111111,Hockey Black,35.3763441,Bapho Demon,41.3836478,Blue Clouds,15.5555556,FalseIdols #5335,6,1.6738743
1154.5009673,2956,Flag,822.5,Carrot Nose,199.3939394,Axe,51.40625,Black Gown,36.7597765,Melton Slush,26.6396761,Dark Blue Flames,16.127451,FalseIdols #5823,6,1.6738743
1142.6616727,666,Flag,822.5,Carrot Nose,199.3939394,Top Hat,43.0065359,Blue One Piece,33.7435897,Melton Slush,26.6396761,Skatepark Park,15.7040573,FalseIdols #5530,6,1.6738743
1011.3722632,6190,NONE,6.5668663,Reverse Cross  Earring,731.1111111,Siberian Hat,40.617284,Pink Jacket,40.1219512,Ignis Ghost,173.1578947,Space,16.7857143,FalseIdols #0087,5,3.0114416
994.6212759,668,Flag,822.5,Moustache,47,Party Hat,46.6666667,Red One Piece,34.8148148,Melton,25.3076923,Purple Clouds,16.6582278,FalseIdols #2138,6,1.6738743
988.1756344,1943,Flag,822.5,Bubble Gum,38.4795322,Cone,45.0684932,Doctor,38.0346821,Melton Slush,26.6396761,Green,15.7793765,FalseIdols #2170,6,1.6738743
986.059617,3106,Flag,822.5,VR Headset,39.8787879,Purple Bandana,43.0065359,Robe,36.1538462,Melton Slush,26.6396761,Pink,16.2068966,FalseIdols #5755,6,1.6738743
978.7783092,3012,Flag,822.5,Black Glasses,38.7058824,Chef Hat,37.1751412,Chinese Dress,35.9562842,Melton Slush,26.6396761,Dark Blue Flames,16.127451,FalseIdols #5933,6,1.6738743
969.3886325,5490,Trident,32.4137931,Reverse Cross  Earring,731.1111111,Dealers Hat,43.5761589,Orange TShirt,39.1666667,Ignis Blue,104.4444444,Spirals,17.002584,FalseIdols #2628,6,1.6738743
958.7976531,5711,Skateboard,26.9672131,Reverse Cross  Earring,731.1111111,Crown,39.8787879,White Turtleneck,39.1666667,Ignis Blue,104.4444444,Blue Clouds,15.5555556,FalseIdols #5900,6,1.6738743
949.4466372,1231,Flag,822.5,None,6.2966507,Emperors Crown,40.8695652,Gold Armor,35.5675676,Melton,25.3076923,Blue Flames,15.8937198,FalseIdols #2527,5,3.0114416
949.4149272,304,Flag,822.5,None,6.2966507,Propeller,38.7058824,Pink Robot,37.3863636,Melton,25.3076923,Pink,16.2068966,FalseIdols #3384,5,3.0114416
