Rank,Name,Canvas,CanvasWeight,Chaqueta,ChaquetaWeight,Craneo,CraneoWeight,Polvo,PolvoWeight,Rociada,RociadaWeight,TraitCount,Weighting
1,ElMatador4990,Turin,4991,Giacca,4991,Crudele,4991,Polvere,4991,Schizzo,4991,5,24956.1103448
2,ElMatador4994,Foggia,4991,Vistoso,4991,Bramoso,4991,Porcheria,4991,None,24.1111111,4,19998.4444444
3,ElMatador4992,Maltera,4991,Seta,4991,Ilmale,4991,Brillare,4991,None,24.1111111,4,19998.4444444
4,ElMatador4996,Novara,4991,Pianura,4991,Ariete,4991,None,16.5264901,Pittura,4991,4,19990.8598234
5,ElMatador4995,Ancona,4991,Vespa,4991,Miele,4991,None,16.5264901,Nera,4991,4,19990.8598234
6,ElMatador4999,Ferrara,4991,Nobile,4991,Sovrano,4991,None,16.5264901,Sangue,4991,4,19990.8598234
7,ElMatador4997,Potenza,4991,Soave,4991,Bestia,4991,None,16.5264901,None,24.1111111,3,15397.560678099999
8,ElMatador0016,Calabrias,4991,Unico,4991,Antica,4991,None,16.5264901,None,24.1111111,3,15397.560678099999
9,ElMatador4993,Livorro,4991,Levigato,4991,Forte,4991,None,16.5264901,None,24.1111111,3,15397.560678099999
10,ElMatador0010,Limoges,4991,Aigu,4991,Enfoncer,4991,None,16.5264901,None,24.1111111,3,15397.560678099999
11,ElMatador4998,Vicenza,4991,Vitoso,4991,Morte,151.2424242,Luna,4991,None,24.1111111,4,15158.686868599998
12,ElMatador4991,Perugia,4991,Peluche,4991,Shifosa,4991,None,16.5264901,Caotico,58.7176471,4,15058.577470499999
13,ElMatador0077,Metapan,70.2957746,Catus,64.8181818,Bula,415.9166667,None,16.5264901,None,24.1111111,3,975.5913012000001
14,ElMatador0014,Valencia,166.3666667,Macio,146.7941176,Bula,415.9166667,None,16.5264901,Linny,74.4925373,4,830.4298117000001
15,ElMatador2899,Alegre,71.3,Engraxado,127.974359,Severa,131.3421053,None,16.5264901,None,24.1111111,3,755.1771424
16,ElMatador0013,Sintra,84.5932203,Pelucia,89.125,Imoral,113.4318182,None,16.5264901,None,24.1111111,3,711.7107166000001
17,ElMatador0182,Porto,84.5932203,Lajuso,66.5466667,Furioso,134.8918919,None,16.5264901,None,24.1111111,3,710.592457
18,ElMatador4270,Callao,151.2424242,Relevo,110.9111111,Trapacista,332.7333333,Luz,37.2462687,Grima,73.3970588,5,706.6405409
19,ElMatador4811,Palma,199.64,Merito,166.3666667,Negrito,199.64,Cicatriz,36.9703704,Luteus,97.8627451,5,701.5901269999999
20,ElMatador0312,Manaus,101.8571429,Acuti,68.369863,Careta,97.8627451,None,16.5264901,None,24.1111111,3,692.6504291
21,ElMatador4558,Huacho,92.4259259,Esperto,151.2424242,Trapacista,332.7333333,Litiase,58.0348837,Limpiar,50.4141414,5,685.9610533
22,ElMatador2637,Valencia,166.3666667,Ameno,68.369863,Trapacista,332.7333333,Cascalho,53.0957447,Boga,58.0348837,5,679.7108362
23,ElMatador4244,Monsaraz,70.2957746,Reluzente,161,Trapacista,332.7333333,Brillo,33.4966443,Anguista,77.984375,5,676.6204720000001
24,ElMatador0009,Soyapango,118.8333333,Augusto,64.8181818,Bula,415.9166667,None,16.5264901,Basura,47.9903846,4,674.4183898000001
25,ElMatador4273,Corodoba,134.8918919,Couro,108.5,Trapacista,332.7333333,Grava,31.7898089,Atufo,62.3875,5,671.4128789000001
26,ElMatador0522,Mejicanos,60.1325301,Bello,70.2957746,Levado,116.0697674,None,16.5264901,None,24.1111111,3,671.0587502000001
27,ElMatador3897,Sechura,138.6388889,Couro,108.5,Trapacista,332.7333333,Imundo,42.6581197,Barafunda,47.0849057,5,670.7255924000001
28,ElMatador0992,Tocumen,103.9791667,Guapo,67.4459459,Bula,415.9166667,Laluz,34.4206897,Barafunda,47.0849057,5,669.9577195
29,ElMatador0765,Nueva,87.5614035,Camisa,81.8196721,Bula,415.9166667,Infecto,40.25,Cunfusao,40.9098361,5,667.5679232
30,ElMatador3096,Gijon,191.9615385,Reluzente,161,Fraude,184.8518519,Manchar,43.0258621,Calidus,81.8196721,5,663.7692694000001
31,ElMatador1320,Beja,68.369863,Casaco,69.3194444,Ferozo,99.82,None,16.5264901,None,24.1111111,3,662.0699855
32,ElMatador3385,Cumbres,121.7317073,Indole,151.2424242,Colosso,249.55,Porcada,31.5886076,Caos,103.9791667,5,659.2022506000001
33,ElMatador0565,Belem,77.984375,Guapo,67.4459459,Venal,89.125,None,16.5264901,None,24.1111111,3,659.115999
34,ElMatador4593,Barillas,108.5,Toscoe,71.3,Trapacista,332.7333333,Manchar,43.0258621,Siccus,99.82,5,656.4895402000001
35,ElMatador3037,Bilbao,151.2424242,Merito,166.3666667,Glutona,237.6666667,Sebento,40.25,Vuelco,56.7159091,5,653.3520114999999
36,ElMatador4939,Abacay,92.4259259,Chama,121.7317073,Trapacista,332.7333333,Imunda,41.2479339,caotica,63.9871795,5,653.2364247
37,ElMatador1122,Almada,69.3194444,Augusto,64.8181818,Bula,415.9166667,Luz,37.2462687,Pena,64.8181818,5,653.2290882000001
38,ElMatador0169,Porto,84.5932203,Lajuso,66.5466667,Bula,415.9166667,Cicatriz,36.9703704,Estragar,43.4,5,648.5372689
39,ElMatador0021,Monsaraz,70.2957746,Felpa,62.3875,Cruela,90.7454545,None,16.5264901,None,24.1111111,3,647.9894072
40,ElMatador1110,Abacay,92.4259259,Hermosa,63.9871795,Bula,415.9166667,None,16.5264901,Doenca,48.4563107,4,647.6459062000001
