Rank,Name,Background,BackgroundWeight,Body,BodyWeight,Ear,EarWeight,Eye,EyeWeight,Eyes,EyesWeight,Head,HeadWeight,Mouth,MouthWeight,Skin,SkinWeight,TraitCount,Weighting
1,Pendulum #04645,Cozmo White,37.380597,Assassin Yellow,208.7083333,Assassin Yellow,166.9666667,Green,9.7641326,,1001.8,Assassin Yellow,1669.6666667,Assassin Yellow,227.6818182,Oracle Burst,94.509434,8,3421.9519654
2,Pendulum #03317,Cozmo Aqua,29.6390533,Assassin Orange,238.5238095,Assassin Orange,111.3111111,Black,5.0698381,,1001.8,Assassin Orange,1001.8,Assassin Orange,208.7083333,Feather Brown,116.4883721,8,2718.8148343000003
3,Pendulum #04900,Cozmo Teal,32.1089744,War Green,385.3076923,War Green,200.36,Black,5.0698381,War Green,250.45,War Green,715.5714286,,1001.8,Black,44.3274336,8,2640.4696839
4,Pendulum #01930,Gradient Pearl,31.30625,Plugged Green,156.53125,Roger Yellow,238.5238095,Pink,10.4790795,Zodiac Purple,200.36,Assassin Yellow,1669.6666667,,2.1921225,Oracle Seer,200.36,7,2514.4992999
5,Pendulum #01788,Cozmo Yellow,28.6228571,War Red,313.0625,War Red,278.2777778,Black,5.0698381,War Red,263.6315789,War Red,385.3076923,,1001.8,Skeleton Candy,178.8928571,8,2460.1394182
6,Pendulum #00895,Orange,25.1708543,Opulence Red,263.6315789,Assassin Teal,178.8928571,Teal,18.9734848,Lightning Pink,333.9333333,Assassin Orange,1001.8,Plugged Blue,313.0625,Skeleton Cream,294.6470588,8,2435.5859841
7,Pendulum #02351,Cozmo Pink,42.4491525,War Blue,333.9333333,War Blue,200.36,Green,9.7641326,War Blue,417.4166667,War Blue,385.3076923,,1001.8,Burst Glitch,37.1037037,8,2433.6089979999997
8,Pendulum #03689,Cozmo Aqua,29.6390533,Assassin Teal,147.3235294,Assassin Teal,178.8928571,Black,5.0698381,,1001.8,Assassin Teal,626.125,Assassin Teal,250.45,Feather Patriot,147.3235294,8,2392.0981242
9,Pendulum #01607,Blue,23.5164319,Phoenix Orange,161.5806452,Sacred Ring Blue,156.53125,Black,5.0698381,Zodiac Blue,238.5238095,Assassin Yellow,1669.6666667,,2.1921225,Feather Rainbow,128.4358974,7,2390.596783
10,Pendulum #03543,Red,17.0955631,Spider Yellow,556.5555556,,2.2573231,Orange,7.0549296,War Green,250.45,Opulence Glitch,556.5555556,Vape Blue,834.8333333,Oracle Brown,151.7878788,7,2381.6702608
11,Pendulum #01463,Cozmo Aqua,29.6390533,Assassin Green,84.8983051,Assassin Green,104.3541667,Green,9.7641326,,1001.8,Assassin Green,626.125,Assassin Green,217.7826087,Feather Patriot,147.3235294,8,2227.1611126999996
12,Pendulum #00781,Cozmo Aqua,29.6390533,Assassin Pink,147.3235294,Assassin Pink,100.18,Pink,10.4790795,,1001.8,Assassin Pink,715.5714286,Assassin Pink,125.225,Oracle Cream,91.0727273,8,2226.765135
13,Pendulum #04257,Gradient Forrest,37.1037037,Prism Glitch,385.3076923,Assassin Teal,178.8928571,Pink,10.4790795,Recon Orange,455.3636364,Assassin Pink,715.5714286,Smoke Glitch,294.6470588,Pink,92.7592593,8,2175.5990325999996
14,Pendulum #04158,Cozmo Yellow,28.6228571,Spider Pink,238.5238095,Roger Glitch,192.6538462,Teal,18.9734848,Recon Brown,417.4166667,Assassin Orange,1001.8,Bubble Purple,227.6818182,Burst Glitch,37.1037037,8,2168.2505031
