Rank,Name,Background,BackgroundWeight,Eyes,EyesWeight,Fur,FurWeight,Hands,HandsWeight,Hat,HatWeight,Mask,MaskWeight,Mouth,MouthWeight,Outfit,OutfitWeight,Tail,TailWeight,Wings,WingsWeight,TraitCount,Weighting
1,Sarge,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,10,1088.8345435
2,Mando,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,10,1088.8345435
3,Sabertooth,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,10,1088.8345435
4,Kenny Pawgers,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,10,1088.8345435
5,Mufasa,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,10,1088.8345435
6,Sloth,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,10,1088.8345435
7,Tinkerbell,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,10,1088.8345435
8,Sir Pouncealot,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,10,1088.8345435
9,Shere Khan,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,10,1088.8345435
10,Zeus,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,10,1088.8345435
11,Ushioda Takanori,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,10,1088.8345435
12,Shivers,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,10,1088.8345435
13,Abe,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,10,1088.8345435
14,Catacus,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,10,1088.8345435
15,Puurrtywise,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,10,1088.8345435
16,Kokoro,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,Missing,99.1403509,10,1088.8345435
